Countries,Arrival city,Stay before hajj-,Arrival type,Arrival date,Num of pilgrims
الجمهورية الجزائرية الديمقراطية الشعبية,جدة,مكة,جو,2025-05-27,245
دولة ليبيا,جدة,مكة,جو,2025-05-26,288
"المملكة المغربية,جدة,مكة,جو,2025-05-28,367"
"المملكة المغربية,جدة,مكة,جو,2025-05-29,308"
دولة ليبيا,جدة,مكة,جو,2025-05-31,141
الجمهورية التونسية,جدة,مكة,جو,2025-05-30,236
جمهورية بنجلاديش الشعبية,جدة,مكة,جو,2025-05-06,398
جمهورية بنجلاديش الشعبية,جدة,مكة,جو,2025-05-26,393
الجمهورية الجزائرية الديمقراطية الشعبية,جدة,مكة,جو,2025-05-24,229
جمهورية إندونيسيا,جدة,مكة,جو,2025-05-20,425
مملكة ماليزيا الاتحادية,جدة,مكة,جو,2025-05-20,278
مملكة ماليزيا الاتحادية,جدة,مكة,جو,2025-05-26,284
مملكة ماليزيا الاتحادية,جدة,مكة,جو,2025-05-28,284
مملكة ماليزيا الاتحادية,جدة,مكة,جو,2025-05-30,194
جمهورية أذربيجان,جدة,مكة,جو,2025-05-26,178
جمهورية إندونيسيا,جدة,مكة,جو,2025-05-29,418
مملكة ماليزيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-04-30,264
جمهورية إندونيسيا,المدينة المنورة,المدينة - مكة,جو,2025-05-03,419
مملكة ماليزيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-05-07,282
مملكة ماليزيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-05-08,276
مملكة ماليزيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-05-09,254
مملكة ماليزيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-05-10,283
جمهورية إندونيسيا,المدينة المنورة,المدينة - مكة,جو,2025-05-14,419
الجمهورية الجزائرية الديمقراطية الشعبية,المدينة المنورة,المدينة - مكة,جو,2025-05-20,246
جمهورية روسيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-05-20,168
جمهورية روسيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-05-20,168
جمهورية روسيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-05-21,102
جمهورية روسيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-05-23,168
جمهورية روسيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-05-28,138
جمهورية روسيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-05-29,150
جمهورية روسيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-05-30,161
جمهورية روسيا الاتحادية,المدينة المنورة,المدينة - مكة,جو,2025-05-30,168
